Data Series,Total Population,Resident Population,Singapore Citizen Population,Permanent Resident Population,Non-Resident Population,Total Population Growth,Resident Population Growth,Population Density,Sex Ratio,Median Age Of Resident Population,Median Age Of Citizen Population,Old-Age Support Ratio,Age Dependency Ratio,Child Dependency Ratio,Old-Age Dependency Ratio,Old-Age Support Ratio,Age Dependency Ratio,Child Dependency Ratio,Old-Age Dependency Ratio,Old-Age Support Ratio,Age Dependency Ratio,Child Dependency Ratio,Old-Age Dependency Ratio,Old-Age Support Ratio,Age Dependency Ratio,Child Dependency Ratio,Old-Age Dependency Ratio,Natural Increase,Rate Of Natural Increase
2021,5453566,"3,986,842.00","3,498,191.00","488,651.00","1,466,724.00",-4.1,-1.4,"7,485.00",960,41.8,42.5,4.3,43.9,20.8,23.1,4,55.4,30.5,24.9,3.8,48.7,22.5,26.2,3.5,61.4,33,28.5,na,na
2020,5685807,"4,044,210.00","3,523,191.00","521,019.00","1,641,597.00",-0.3,0.4,"7,810.00",957,41.5,42.2,4.6,42.3,20.7,21.6,4.3,54,30.6,23.4,4.1,46.8,22.2,24.6,3.7,59.7,32.9,26.8,16536 ,3.3 
2019,5703569,"4,026,209.00","3,500,940.00","525,269.00","1,677,360.00",1.2,0.8,"7,866.00",957,41.1,42,4.9,41.1,20.7,20.4,4.5,53,30.9,22.1,4.3,45.2,22,23.2,4,58.4,33.1,25.3,17833 ,3.7 
2018,5638676,"3,994,283.00","3,471,936.00","522,347.00","1,644,393.00",0.5,0.7,"7,804.00",959,40.8,41.7,5.2,39.9,20.7,19.2,4.8,51.9,31.1,20.8,4.6,43.7,21.9,21.8,4.2,57,33.2,23.8,17757 ,3.7 
2017,5612253,"3,965,796.00","3,439,177.00","526,619.00","1,646,457.00",0.1,0.8,"7,796.00",961,40.5,41.3,5.5,38.9,20.8,18.1,5.1,51.3,31.6,19.7,4.9,42.5,21.9,20.6,4.4,56.2,33.7,22.6,18710 ,4.0 
2016,5607283,"3,933,559.00","3,408,943.00","524,616.00","1,673,724.00",1.3,0.8,"7,797.00",963,40,41,5.8,38,20.9,17.1,5.4,50.7,32,18.7,5.1,41.3,21.9,19.4,4.7,55.5,34.1,21.4,21234 ,4.6 
2015,5535002,"3,902,690.00","3,375,023.00","527,667.00","1,632,312.00",1.2,0.8,"7,697.00",965,39.6,40.7,6.2,37.4,21.2,16.2,5.7,50.2,32.5,17.7,5.4,40.6,22.2,18.4,4.9,54.9,34.7,20.3,22323 ,4.9 
2014,5469724,"3,870,739.00","3,343,030.00","527,709.00","1,598,985.00",1.3,0.7,"7,615.00",967,39.3,40.4,6.6,36.7,21.5,15.2,6,49.8,33.1,16.7,5.8,39.8,22.4,17.3,5.2,54.4,35.3,19.2,22839 ,5.1 
2013,5399162,"3,844,751.00","3,313,507.00","531,244.00","1,554,411.00",1.6,0.7,"7,540.00",968,38.9,40,7,36.1,21.8,14.3,6.4,49.6,33.9,15.7,6.1,39,22.7,16.3,5.5,54.1,36,18.1,20782 ,4.6 
2012,5312437,"3,818,205.00","3,285,140.00","533,065.00","1,494,232.00",2.5,0.8,"7,429.00",970,38.4,39.6,7.4,35.7,22.3,13.5,6.7,49.5,34.7,14.8,6.5,38.4,23.1,15.3,5.9,53.8,36.8,17,24182 ,5.6 
2011,5183688,"3,789,251.00","3,257,228.00","532,023.00","1,394,437.00",2.1,0.5,"7,273.00",972,38,39.1,7.9,35.3,22.7,12.6,7.2,49.2,35.4,13.9,7,37.9,23.6,14.3,6.3,53.6,37.6,16,21627 ,5.1 
2010,5076732,"3,771,721.00","3,230,719.00","541,002.00","1,305,011.00",1.8,1,"7,146.00",974,37.4,38.6,8.2,35.7,23.5,12.2,7.4,50,36.5,13.5,7.2,38.3,24.4,13.9,6.4,54.4,38.8,15.5,20357 ,4.9 
2009,4987573,"3,733,876.00","3,200,693.00","533,183.00","1,253,697.00",3.1,2.5,"7,025.00",976,36.9,38.2,8.3,36.5,24.4,12.1,7.5,51,37.6,13.3,7.3,39,25.2,13.8,6.5,55.3,39.9,15.4,22469 ,5.6 
2008,4839396,"3,642,659.00","3,164,438.00","478,221.00","1,196,737.00",5.5,1.7,"6,846.00",980,36.7,37.8,8.4,37.2,25.3,11.9,7.6,52.2,39,13.2,7.5,39.4,26,13.4,6.7,56.2,41.2,15,22604 ,5.8 
2007,4588599,"3,583,082.00","3,133,848.00","449,234.00","1,005,517.00",4.3,1.6,"6,552.00",982,36.4,37.5,8.5,37.9,26.1,11.8,7.7,53,40,13,7.6,40,26.8,13.2,6.8,57,42.2,14.8,22350 ,5.9 
2006,4401365,"3,525,894.00","3,107,924.00","417,970.00","875,471.00",3.2,1.7,"6,298.00",983,36.1,37,8.6,38.5,27,11.6,7.8,53.4,40.6,12.8,7.8,40.6,27.8,12.9,6.9,57.2,42.8,14.4,21924 ,5.9 
